Machine,Strategy,Tool_Type,Tool_Diameter,Tool_Tip_Radius,Tool_Length,Overhang,Num_of_Flutes,Gauge_Length,Holder,Tolerance,Block_X,Block_Y,Block_Z,Max_X,Min_X,Max_Y,Min_Y,Max_Z,Min_Z,Skim_Distance,Plunge_Distance,Global_Thickness,Radial_Thickness,Axial_Thickness,Cutting_Feed_Rate,Plunge_Feed_Rate,Rapid_Feed_Rate,Spindle,Cut_Length,Stepover,Stepdown,Machining_Thickness,Estimasi_Detik,Aktual_Detik
MATRIX,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.1,126.0,82.0,8.8,53.821,-53.82,32.115,-32.09,-14.099,-60.0,5,2.0,0.0,0.3,0.1,1400,700.0,7000,5500,30439.5,6.0,0.2,0.3,1579,1933
MATRIX,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.1,126.0,82.0,8.8,53.136,-53.136,31.5,-31.5,-10.2,-60.0,5,2.0,0.0,0.3,0.1,1400,700.0,7000,5500,25705.4,6.0,0.2,0.3,1332,1501
MATRIX,Offset Area Clearance,End Mill,6.0,0.0,40.0,29.4,2,113.9,MINI-MINI CHCUK MMC8-90,0.1,126.0,82.0,3.9,52.639,-52.639,30.149,-30.149,-6.883,-60.0,5,2.0,0.0,0.05,0.1,1000,500.0,7000,5000,12121.0,3.0,0.2,0.05,840,891
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,29.4,2,113.9,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,8.8,15.498,-15.498,15.5,-18.71,-10.2,-60.0,5,2.0,0.0,0.0,0.0,700,70.0,7000,3500,1752.55,0.0,0.3,0.0,175,186
MATRIX,Offset Flat,End Mill,6.0,0.0,40.0,29.4,2,113.9,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,19.0,52.447,-52.447,31.0,-31.0,-6.9,-60.0,5,2.0,0.0,0.0,0.0,700,350.0,7000,5000,1924.17,2.0,0.0,0.0,249,273
MATRIX,Raster,Ball Nosed,6.0,3.0,50.5,30.4,2,114.4,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,19.0,53.869,-53.869,28.7,-28.7,-6.801,-60.0,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,1392.32,0.2,0.0,0.0,137,250
MATRIX,3D Offset,Ball Nosed,6.0,3.0,50.5,30.4,2,114.4,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,19.0,53.887,-53.887,31.999,-32.021,-5.836,-60.0,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,1209.86,0.1,0.0,0.0,68,89
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,20.0,2,104.5,MINI-MINI CHCUK MMC8-90,0.01,126.0,82.0,16.0,20.992,-20.96,12.7,-12.7,-3.001,-60.0,5,2.0,0.0,0.3,0.0,1000,500.0,7000,5000,5458.14,0.0,0.25,0.3,395,560
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,20.0,2,104.5,MINI-MINI CHCUK MMC8-90,0.01,126.0,82.0,16.0,21.06,-21.219,13.0,-13.0,-3.001,-60.0,5,2.0,0.0,0.0,0.0,1000,500.0,7000,5000,2114.35,0.0,0.3,0.0,153,189
PRO,Drilling,Drill,1.0,0.0,2.0,15.0,2,149.0,dummy toolholder name,0.005,110.0,110.0,9.5,17.0,-17.0,0.0,0.0,20.0,9.0,5,2.0,0.0,0.0,0.0,60,30.0,7000,1500,6.0,0.0,0.0,0.0,6,89
PRO,Drilling,Drill,6.0,0.0,80.0,40.0,2,174.0,dummy toolholder name,0.005,110.0,110.0,9.5,17.0,-17.0,0.0,0.0,20.0,-4.0,5,2.0,0.0,0.0,0.0,40,20.0,7000,800,37.2,0.0,0.0,0.0,60,95
PRO,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.05,102.0,102.0,9.5,24.995,-24.995,0.238,-50.995,20.0,0.838,5,2.0,0.0,0.2,0.1,1200,600.0,7000,5500,14033.7,5.0,0.3,0.2,835,857
PRO,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.05,102.0,102.0,9.5,3.061,-3.065,4.995,-3.722,20.0,0.838,5,2.0,0.0,0.2,0.1,1200,600.0,7000,6000,398.913,5.0,0.3,0.2,29,62
PRO,Offset Area Clearance,Ball Nosed,4.0,2.0,9.2,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.05,110.0,110.0,9.5,1.684,-1.695,55.228,0.0,20.0,1.198,5,2.0,0.0,0.2,0.1,1000,500.0,7000,9000,2374.71,2.0,0.15,0.2,175,205
